plantid,Diversity,Microbe,microbediversity,site,Aboveground,Belowground,RootShoot,Height,Branches,sumflowers,sumdaysflowering,floweringperiod,initiation,dayto25,dayto50,d25tod50,Skewness,Kurtosis
GraceBacteria2,Low,Bacteria,BacteriaLow,Grace,2.13,1.09,0.512,90,8,219,47,77,80,90,101,11,1.93933803,5.836975331
GraceBacteria3,Low,Bacteria,BacteriaLow,Grace,2.37,1.11,0.468,94,3,143,52,78,76,92,105,13,2.425506541,9.816583346
GraceFull4,Low,Full,FullLow,Grace,1.51,1.05,0.6953,69,2,201,92,128,58,92,108,16,1.329392701,4.798247059
GraceFull3,Low,Full,FullLow,Grace,1.66,1.47,0.885542169,74,10,270,120,161,62,84,106,22,1.251557138,4.616745784
GraceFull2,Low,Full,FullLow,Grace,1.52,1.7,1.118421053,85,10,235,122,165,62,93,120,27,0.943528957,3.757337551
PortlandFull7,Low,Full,FullLow,Portland,1.71,0.78,0.456,90,3,176,47,50,71,83,98,15,1.678394611,4.532362509
PortlandFull8,Low,Full,FullLow,Portland,1.18,0.22,0.186,64,5,155,69,84,54,73,88,15,1.561658718,4.688600893
PortlandFull9,Low,Full,FullLow,Portland,3.22,5.27,1.636,101,34,168,40,48,79,93,101,8,2.073421488,6.31461665
PortlandFull10,Low,Full,FullLow,Portland,1.64,2.98,1.817073,77,5,296,107,139,66,86,109,23,1.468370935,5.557217356
PortlandFull6,Low,Full,FullLow,Portland,1.73,1.85,1.069364162,79,9,307,106,155,70,88,106,18,1.246612731,3.781931605
GraceBacteria4,Low,Bacteria,BacteriaLow,Grace,1.53,0.82,0.53594,88,8,179,81,143,83,101,112,11,2.146568822,9.936319723
GraceBacteria5,Low,Bacteria,BacteriaLow,Grace,0.92,0.27,0.293,73,3,41,30,68,74,84,100,16,3.859612068,24.08917916
WolfrunSterile4,High,Sterile,Sterile,Wolfrun,1.92,4.93,2.567708333,100,18,332,109,152,74,103,116,13,1.674383785,7.30399451
WolfrunSterile3,High,Sterile,Sterile,Wolfrun,1.14,0.2,0.175,60,3,58,33,72,66,74,87,13,2.59342738,9.048555668
WolfrunSterile1,High,Sterile,Sterile,Wolfrun,0.75,0.19,0.253,66,3,165,69,83,NA,72,86,14,1.249352631,3.437630081
PortlandFull1,Low,Full,FullLow,Portland,2.52,4.21,1.670634921,107,7,199,92,142,82,101,128,27,1.211539231,3.798069544
PortlandFull2,Low,Full,FullLow,Portland,1.66,0.91,0.548192,77,9,151,83,114,75,99,99,0,1.353072607,4.678200425
PortlandFull3,Low,Full,FullLow,Portland,2.05,1.55,0.756,81,5,259,99,121,79,99,120,21,0.817938828,2.527669647
PortlandFull5,Low,Full,FullLow,Portland,1.76,2.66,1.511363636,99,6,304,115,149,78,110,134,24,0.97377016,3.459103146
PortlandBacteria5,Low,Bacteria,BacteriaLow,Portland,2.83,4.62,1.632,106,3,140,50,64,86,99,110,11,1.783379586,5.062508981
GraceFull5,Low,Full,FullLow,Grace,1.36,1.24,0.912,84,4,184,58,72,69,86,101,15,1.743311906,5.255703855
WolfrunBacteria4,High,Bacteria,BacteriaHigh,Wolfrun,NA,NA,NA,NA,NA,257,78,99,71,91,104,13,1.606527212,5.297080663
WolfrunBacteria3,High,Bacteria,BacteriaHigh,Wolfrun,1.43,1.76,1.2307,83,4,221,81,111,72,92,108,16,1.233642856,3.512593661
WolfrunBacteria2,High,Bacteria,BacteriaHigh,Wolfrun,1.65,0.61,0.369,86,6,149,52,59,72,85,94,9,1.901684156,6.263535822
WolfrunBacteria1,High,Bacteria,BacteriaHigh,Wolfrun,4.71,1.8,0.382165605,100,9,242,96,148,79,95,110,15,1.156826688,3.347615993
PortlandBacteria1,Low,Bacteria,BacteriaLow,Portland,1.62,0.75,0.463,85,1,71,42,86,75,83,107,24,2.499092371,9.769473456
PortlandBacteria2,Low,Bacteria,BacteriaLow,Portland,1.61,0.4,0.248447205,90,12,180,96,172,53,76,99,23,1.69221138,7.450820574
PortlandBacteria3,Low,Bacteria,BacteriaLow,Portland,1.75,0.58,0.331,81,6,183,52,77,73,86,98,12,1.644750046,4.631926007
PortlandBacteria4,Low,Bacteria,BacteriaLow,Portland,1.98,2.25,1.13636,99,10,334,92,134,76,95,111,16,1.119067654,3.184253022
PortlandBacteria6,Low,Bacteria,BacteriaLow,Portland,0.9,0.7,0.777,66,1,142,79,96,60,75,93,18,1.32965392,4.173822738
WolfrunBacteria6,High,Bacteria,BacteriaHigh,Wolfrun,1.31,0.99,0.756,91,0,261,94,119,54,83,102,19,1.190460051,3.551962489
WolfrunFull5,High,Full,FullHigh,Wolfrun,2.03,0.89,0.438,79,7,109,53,72,67,76,94,18,1.952725727,6.436720217
WolfrunFull4,High,Full,FullHigh,Wolfrun,0.5,0.16,0.32,45,0,97,67,129,54,78,101,23,1.57344225,5.128674599
WolfrunFull2,High,Full,FullHigh,Wolfrun,1.29,2.37,1.837209,67,5,175,86,130,70,93,108,15,1.213656759,3.630416601
WolfrunFull1,High,Full,FullHigh,Wolfrun,1.43,0.75,0.524,63,1,122,56,88,71,85,94,9,2.264348668,7.90689883
PortlandSterile1,Low,Sterile,Sterile,Portland,2.45,1.65,0.673,99,6,117,44,87,78,86,91,5,2.864837031,11.98522679
PortlandSterile3,Low,Sterile,Sterile,Portland,1.85,4.47,2.4162,83,8,258,88,117,68,86,102,16,1.028497848,2.862711035
PortlandSterile4,Low,Sterile,Sterile,Portland,1.07,2.62,2.4485,77,4,196,71,114,67,84,95,11,1.793950753,5.879665307
PortlandSterile6,Low,Sterile,Sterile,Portland,1.61,0.91,0.565217,90,4,356,115,142,63,94,111,17,0.934692978,2.998661309
PortlandBacteria7,Low,Bacteria,BacteriaLow,Portland,0.98,0.55,0.5612,68,3,142,72,112,68,84,98,14,1.625835753,5.463291428
GraceSterile3,Low,Sterile,Sterile,Grace,1.11,0.58,0.522,87,3,78,32,37,67,76,84,8,2.599590956,9.355343398
GraceFull7,Low,Full,FullLow,Grace,2.83,2.92,1.0318,75,2,131,71,109,73,90,115,25,1.678726051,5.357597474
GraceFull8,Low,Full,FullLow,Grace,1.32,2.03,1.537878,79,4,179,88,131,67,81,106,25,1.327225846,4.265982889
GraceFull9,Low,Full,FullLow,Grace,1.33,0.84,0.631578,76,6,164,66,97,70,84,101,17,1.758900368,6.081458725
BernheimBacteria2,Low,Bacteria,BacteriaLow,Bernheim,0.63,0.58,0.921,68,0,27,24,66,95,107,107,0,2.639043476,9.545239469
BernheimSterile6,Low,Sterile,Sterile,Bernheim,2.15,0.82,0.381,98,4,165,47,74,72,85,94,9,1.935580107,5.828166831
BernheimSterile10,Low,Sterile,Sterile,Bernheim,1.05,0.32,0.305,52,7,33,26,55,68,75,75,0,2.56833158,8.760630499
GraceSterile2,Low,Sterile,Sterile,Grace,2.85,3.87,1.358,109,7,202,63,80,81,94,109,15,1.711409727,5.266395077
AlleeSterile5,High,Sterile,Sterile,Allee,2.21,1.21,0.547,85,5,204,60,75,75,88,99,11,1.777510874,5.244135871
AlleeSterile4,High,Sterile,Sterile,Allee,1.74,1.6,0.919,73,4,126,65,74,62,80,94,14,1.689364596,5.461697147
GraceBacteria6,Low,Bacteria,BacteriaLow,Grace,0.73,1.61,2.205479,79,5,156,74,98,73,107,107,0,1.605909532,5.332719635
GraceBacteria7,Low,Bacteria,BacteriaLow,Grace,0.95,1.11,1.16842,76,1,171,79,107,89,110,128,18,1.861053811,7.196938039
BernheimFull9,Low,Full,FullLow,Bernheim,3.54,9.04,2.55367,93,6,294,98,128,86,104,121,17,1.355903199,4.584006397
GraceBacteria9,Low,Bacteria,BacteriaLow,Grace,1.14,2.29,2.00877,85,2,96,67,117,87,111,111,0,1.500806239,4.943817608
BernheimFull7,Low,Full,FullLow,Bernheim,1.35,1.33,0.985,82,1,212,72,91,64,81,93,12,1.370917823,3.861344805
BernheimFull1,Low,Full,FullLow,Bernheim,2.34,7.38,3.153846154,71,5,320,112,148,73,109,129,20,1.888697846,7.805499738
AlleeSterile10,High,Sterile,Sterile,Allee,1,0.39,0.39,67,2,114,51,77,60,75,86,11,1.917434672,6.152065679
AlleeSterile8,High,Sterile,Sterile,Allee,1.76,1.49,0.846,86,4,232,70,91,64,86,99,13,1.840211731,6.909926272
AlleeSterile7,High,Sterile,Sterile,Allee,2.49,1.44,0.578313,101,5,305,105,157,70,91,108,17,1.108233386,3.422093026
AlleeSterile6,High,Sterile,Sterile,Allee,1.44,2.86,1.98611,53,6,282,97,123,71,91,111,20,1.2991689,4.540071808
GraceSterile6,Low,Sterile,Sterile,Grace,1.89,2.38,1.259259259,91,5,288,104,144,73,92,107,15,1.315817408,4.186446621
GraceSterile7,Low,Sterile,Sterile,Grace,2.94,7.63,2.595,106,12,93,29,29,89,100,106,6,2.598541973,9.046596108
BernheimSterile4,Low,Sterile,Sterile,Bernheim,1.58,2.28,1.443,87,3,240,67,75,69,75,75,0,1.176163262,2.983663323
BernheimFull10,Low,Full,FullLow,Bernheim,2.49,3.79,1.52208,89,13,243,68,123,76,90,98,8,1.795438905,5.289378374
GraceSterile10,Low,Sterile,Sterile,Grace,1.55,0.83,0.53548,51,4,111,65,97,71,92,112,20,1.47629459,4.274882841
LLPSterile10,High,Sterile,Sterile,LLP,1.26,2.7,2.142857143,65,6,254,116,141,77,111,133,22,1.09205409,4.58203155
LLPSterile9,High,Sterile,Sterile,LLP,1.55,3.53,2.27741,95,6,211,65,106,82,97,108,11,1.687055622,4.948359293
LLPSterile8,High,Sterile,Sterile,LLP,1.93,5.23,2.70984456,86,14,250,86,145,74,93,106,13,1.588760118,4.819642156
LLPSterile7,High,Sterile,Sterile,LLP,1.01,0.56,0.554,59,0,141,74,115,58,77,77,0,1.883232307,7.463242133
LLPSterile6,High,Sterile,Sterile,LLP,3.19,3.54,1.109,77,7,174,48,52,84,94,105,11,2.124111006,6.809255166
BernheimFull8,Low,Full,FullLow,Bernheim,1.98,4.12,2.08,92,6,202,72,94,79,96,110,14,1.490155924,4.277910657
BernheimSterile2,Low,Sterile,Sterile,Bernheim,2.67,4.94,1.85,88,11,142,55,63,65,79,92,13,2.06253643,7.539502772
BernheimBacteria3,Low,Bacteria,BacteriaLow,Bernheim,0.69,1.06,1.536,63,2,16,10,41,125,131,134,3,6.263371789,47.11098562
BernheimBacteria10,Low,Bacteria,BacteriaLow,Bernheim,1.12,2.05,1.83,81,0,163,65,88,67,88,101,13,2.601322203,11.02461633
BernheimBacteria6,Low,Bacteria,BacteriaLow,Bernheim,0.63,3.4,5.396825397,57,7,47,32,80,140,164,184,20,2.519629649,8.928817266
BernheimBacteria8,Low,Bacteria,BacteriaLow,Bernheim,0.27,0.82,3.037,43,3,21,21,56,113,121,134,13,2.328726946,6.422969188
AlleeSterile1,High,Sterile,Sterile,Allee,1.15,2.47,2.1478,84,0,211,82,126,56,82,99,17,1.480999159,4.794148637
LLPSterile3,High,Sterile,Sterile,LLP,0.96,0.58,0.60416,78,3,313,91,117,59,86,102,16,1.229199237,3.731672374
LLPSterile2,High,Sterile,Sterile,LLP,1.75,4.48,2.56,97,2,126,68,114,78,104,120,16,1.328172431,3.645034074
LLPSterile1,High,Sterile,Sterile,LLP,0.95,1.38,1.453,59,12,89,42,73,55,68,79,11,1.859947971,5.272279469
LLPBacteria5,High,Bacteria,BacteriaHigh,LLP,3.06,4.25,1.38,106,1,151,45,57,77,92,102,10,2.147406671,7.110621167
LLPBacteria8,High,Bacteria,BacteriaHigh,LLP,1,0.88,0.88,55,9,212,85,100,70,106,122,16,1.559715354,5.394076024
LLPBacteria7,High,Bacteria,BacteriaHigh,LLP,1.02,2.47,2.42156,74,2,174,80,105,62,91,107,16,1.344619714,4.070194588
LLPBacteria9,High,Bacteria,BacteriaHigh,LLP,1.81,0.42,0.232044,54,2,126,80,134,60,94,113,19,1.873936724,7.473751685
LLPFull10,High,Full,FullHigh,LLP,1.32,1.17,0.886,76,7,71,30,46,82,89,93,4,4.402016379,26.77036717
LLPFull9,High,Full,FullHigh,LLP,2.03,0.75,0.369,88,4,197,70,92,70,84,97,13,1.51043222,4.483293047
LLPFull7,High,Full,FullHigh,LLP,1.16,0.99,0.8534,69,1,224,89,118,66,82,104,22,1.129316446,3.416687787
LLPFull6,High,Full,FullHigh,LLP,1.22,2.58,2.115,60,6,131,64,86,78,88,123,35,1.915971136,6.482360003
AlleeBacteria4,High,Bacteria,BacteriaHigh,Allee,1.83,3.22,1.759,95,4,244,59,69,70,96,105,9,1.847759378,6.111246582
AlleeBacteria8,High,Bacteria,BacteriaHigh,Allee,4.24,1.15,0.271226415,83,12,246,92,133,90,103,128,25,1.748359516,5.881891717
AlleeBacteria7,High,Bacteria,BacteriaHigh,Allee,1.69,0.48,0.284,65,7,234,77,83,70,93,108,15,1.487369729,4.516843451
AlleeBacteria6,High,Bacteria,BacteriaHigh,Allee,2.02,0.89,0.44,98,2,168,53,62,76,96,106,10,1.973072988,6.072359728
AlleeBacteria10,High,Bacteria,BacteriaHigh,Allee,1.27,0.41,0.32283,94,2,137,67,108,61,77,86,9,2.144011882,8.973735079
AlleeBacteria3,High,Bacteria,BacteriaHigh,Allee,1.78,2.03,1.14044,97,8,166,72,87,79,103,114,11,1.639007667,5.134499484
AlleeBacteria1,High,Bacteria,BacteriaHigh,Allee,2.36,4.77,2.021,88,6,152,57,84,93,121,131,10,2.601322203,11.02461633
AlleeFull5,High,Full,FullHigh,Allee,0.93,0.2,0.215,64,4,112,61,77,57,69,83,14,1.882949612,6.543195165
AlleeFull9,High,Full,FullHigh,Allee,1.55,3.02,1.9483,58,5,322,98,129,72,92,110,18,1.500524086,5.190459667
AlleeFull8,High,Full,FullHigh,Allee,2.35,1.28,0.545,76,8,204,58,62,70,87,98,11,1.573285185,4.525878667
AlleeFull6,High,Full,FullHigh,Allee,1.83,1.85,1.010928,74,7,273,99,134,69,92,108,16,1.411544903,5.106156701
AlleeFull3,High,Full,FullHigh,Allee,2.35,1.81,0.77,57,5,204,81,90,63,81,96,15,1.323126832,4.181178687
AlleeFull2,High,Full,FullHigh,Allee,2.14,2.36,1.103,78,28,185,54,55,66,83,95,12,1.497145979,4.055449543
AlleeFull1,High,Full,FullHigh,Allee,1.28,0.5,0.39,67,3,235,80,83,63,80,101,21,0.937545963,2.63669165
LLPFull5,High,Full,FullHigh,LLP,2.19,2.82,1.287,77,7,255,86,101,78,93,110,17,1.267209473,3.889263285
LLPFull4,High,Full,FullHigh,LLP,1.59,1.74,1.0943,77,1,202,97,126,53,75,98,23,1.584478263,6.521037423
LLPFull1,High,Full,FullHigh,LLP,1.04,1.03,0.99,74,0,188,82,105,59,83,102,19,1.725468315,7.334747406
LLPBacteria4,High,Bacteria,BacteriaHigh,LLP,2.25,0.98,0.435,93,5,166,49,72,90,104,113,9,2.021027319,6.323691512
WolfrunFull6,High,Full,FullHigh,Wolfrun,0.66,1.32,2,47,0,99,62,99,67,83,104,21,1.536805574,4.582356175
WolfrunFull7,High,Full,FullHigh,Wolfrun,1.72,3.63,2.110465116,73,10,327,120,148,73,103,127,24,0.824699184,3.085264065
WolfrunFull9,High,Full,FullHigh,Wolfrun,2.95,3.47,1.176,104,5,162,44,44,76,90,100,10,2.135860251,6.58623244
WolfrunFull10,High,Full,FullHigh,Wolfrun,1.27,0.67,0.528,75,3,186,65,67,64,82,96,14,1.330866708,3.682474793
BernheimFull3,Low,Full,FullLow,Bernheim,1.93,4.93,2.5544,69,2,207,84,116,68,90,106,16,1.503775309,4.476427598
BernheimFull2,Low,Full,FullLow,Bernheim,1.98,1.25,0.631313,82,9,286,96,118,76,92,110,18,1.440527147,4.696692105
BernheimFull5,Low,Full,FullLow,Bernheim,1.54,2.06,1.33766,79,4,252,112,144,68,96,119,23,0.952531787,3.227362047
BernheimFull4,Low,Full,FullLow,Bernheim,1.98,2.77,1.398,87,12,87,22,25,83,89,93,4,3.562693714,16.33925305
WolfrunBacteria7,High,Bacteria,BacteriaHigh,Wolfrun,1.18,0.49,0.415254,67,7,245,97,126,67,90,109,19,1.16964237,4.033028463
WolfrunBacteria8,High,Bacteria,BacteriaHigh,Wolfrun,2.05,3.74,1.824,76,2,204,91,115,64,84,110,26,0.974440941,2.894659966
WolfrunBacteria9,High,Bacteria,BacteriaHigh,Wolfrun,2.36,1.27,0.5381355,85,2,352,96,138,74,99,112,13,1.500269281,5.004822919
WolfrunBacteria10,High,Bacteria,BacteriaHigh,Wolfrun,NA,NA,NA,NA,NA,215,72,86,62,84,99,15,1.50396164,4.571397258
PortlandBacteria8,Low,Bacteria,BacteriaLow,Portland,0.95,0.24,0.253,53,1,79,43,63,67,75,85,10,2.198874984,7.274496635
PortlandBacteria9,Low,Bacteria,BacteriaLow,Portland,3.71,2.34,0.630727763,87,15,411,118,145,80,108,131,23,0.882250685,3.313698897
PortlandSterile10,Low,Sterile,Sterile,Portland,1.03,2.27,2.203883,55,6,149,74,124,71,90,107,17,1.297340732,3.700128115
WolfrunSterile7,High,Sterile,Sterile,Wolfrun,2.73,6.15,2.252747,79,2,224,89,127,79,95,121,26,1.405568154,4.432694326
WolfrunSterile9,High,Sterile,Sterile,Wolfrun,2.4,4.71,1.962,60,13,199,60,73,69,86,107,21,1.707508532,5.080127036
PortlandSterile8,Low,Sterile,Sterile,Portland,1.55,1.97,1.271,92,9,215,60,72,66,75,75,0,1.576822818,4.58591585
PortlandSterile9,Low,Sterile,Sterile,Portland,0.97,1.18,1.126,62,2,161,63,77,54,69,84,15,1.486173621,4.556388018
LLPFull2,High,Full,FullHigh,LLP,2.22,2.48,1.117117117,64,4,51,17,17,214,220,225,5,3.75982346,16.98983063
WolfrunFull8,High,Full,FullHigh,Wolfrun,1.12,0.78,0.69642,70,1,99,57,114,59,83,97,14,2.094137096,7.654129679
BernheimBacteria5,Low,Bacteria,BacteriaLow,Bernheim,0.65,0.46,0.708,75,2,21,15,28,96,102,106,4,4.060258646,20.57568191
WolfrunFull3,High,Full,FullHigh,Wolfrun,1.44,1.03,0.71527,60,10,69,38,84,73,83,111,28,2.436033923,9.397245557
BernheimBacteria1,Low,Bacteria,BacteriaLow,Bernheim,0.54,0.82,1.518,58,0,1,1,1,128,NA,NA,NA,NA,NA
WolfrunBacteria5,High,Bacteria,BacteriaHigh,Wolfrun,2.04,1.95,0.956,81,2,NA,4,10,NA,NA,NA,NA,NA,NA
PortlandSterile2,Low,Sterile,Sterile,Portland,0.83,0.43,0.51807,73,0,110,59,96,71,89,103,14,1.695849365,5.375236887
BernheimSterile9,Low,Sterile,Sterile,Bernheim,1.27,3.1,2.440944882,73,0,85,38,43,188,199,210,11,2.230999186,7.121754151
BernheimBacteria9,Low,Bacteria,BacteriaLow,Bernheim,1.35,2.24,1.659259259,68,4,108,68,121,107,158,158,0,1.530594429,4.988198172
BernheimBacteria7,Low,Bacteria,BacteriaLow,Bernheim,0.12,0.91,7.583333333,23,4,0,0,0,231,NA,NA,NA,NA,NA
PortlandSterile7,Low,Sterile,Sterile,Portland,2.24,0.67,0.2991,80,14,66,36,77,76,84,101,17,3.133764927,14.20534991
PortlandSterile5,Low,Sterile,Sterile,Portland,1.06,2.77,2.613207547,62,0,84,43,67,136,149,161,12,2.112475843,6.884729308
PortlandFull4,Low,Full,FullLow,Portland,1.12,0.97,0.86607,70,6,115,53,71,79,96,108,12,2.049206745,7.133488546
PortlandBacteria10,Low,Bacteria,BacteriaLow,Portland,0.41,0.41,1,29,9,56,34,55,122,137,146,9,2.518638004,9.092596335
BernheimSterile8,Low,Sterile,Sterile,Bernheim,2.04,3.21,1.5735,72,6,128,58,86,70,79,88,9,2.069570137,7.177550364
LLPBacteria2,High,Bacteria,BacteriaHigh,LLP,2.04,4.1,2.009803922,92,8,273,121,145,83,116,149,33,1.402756887,5.282764694
LLPBacteria3,High,Bacteria,BacteriaHigh,LLP,2.16,7.71,3.5694,102,2,176,72,83,76,90,109,19,1.475080938,4.631027256
LLPBacteria6,High,Bacteria,BacteriaHigh,LLP,0.39,1.19,3.051282051,65,4,19,16,30,198,204,208,4,3.516639613,15.41243238
LLPBacteria10,High,Bacteria,BacteriaHigh,LLP,0.87,0.36,0.41379,73,4,141,64,101,74,95,108,13,2.076574558,7.272991434
GraceSterile9,Low,Sterile,Sterile,Grace,0.67,0.46,0.686,62,2,9,7,9,93,95,96,1,5.656850234,36.39196525
AlleeFull10,High,Full,FullHigh,Allee,3.6,2.73,0.75833,99,6,260,85,103,77,98,110,12,1.748862335,6.268234439
BernheimSterile1,Low,Sterile,Sterile,Bernheim,2.44,1.33,0.545081967,89,8,335,107,133,76,97,117,20,1.870769327,8.214365493
BernheimSterile3,Low,Sterile,Sterile,Bernheim,2.13,0.62,0.29107,86,9,139,58,83,79,95,95,0,2.077774706,7.244284445
BernheimSterile5,Low,Sterile,Sterile,Bernheim,1.52,1.83,1.2039,72,3,146,70,110,70,86,100,14,2.046010839,8.195076742
BernheimSterile7,Low,Sterile,Sterile,Bernheim,0.45,1.82,4.044444444,42,5,2,1,1,230,NA,NA,NA,NA,NA
WolfrunSterile2,High,Sterile,Sterile,Wolfrun,1.33,3.89,2.92481203,87,5,202,90,112,76,114,132,18,1.909993096,7.170719303
GraceSterile1,Low,Sterile,Sterile,Grace,1.45,3.65,2.517241379,49,9,153,66,75,156,178,192,14,1.448690397,4.336225379
GraceSterile8,Low,Sterile,Sterile,Grace,1.65,2.76,1.672727273,51,1,102,45,47,184,199,209,10,2.072410429,7.026116854
GraceSterile4,Low,Sterile,Sterile,Grace,1.11,3.72,3.351,85,0,206,73,82,56,78,95,17,1.494052978,4.613585857
GraceSterile5,Low,Sterile,Sterile,Grace,2.69,0.56,0.208178439,99,10,177,78,127,76,87,101,14,2.141225683,10.0726626
AlleeBacteria2,High,Bacteria,BacteriaHigh,Allee,0.81,0.48,0.592,66,7,43,26,50,65,72,77,5,3.492631178,18.21655056
AlleeBacteria5,High,Bacteria,BacteriaHigh,Allee,0.58,0.87,1.5,44,4,49,38,70,113,122,133,11,1.914481221,5.52849728
AlleeBacteria9,High,Bacteria,BacteriaHigh,Allee,1.1,0.5,0.4545,82,1,226,86,93,78,103,117,14,1.109210305,3.337871603
AlleeFull4,High,Full,FullHigh,Allee,1.92,0.97,0.505208333,80,6,272,103,129,78,98,117,19,1.347973825,4.991050141
AlleeFull7,High,Full,FullHigh,Allee,1.78,1.65,0.926966,55,13,105,60,87,78,100,125,25,2.100155393,7.999336771
WolfrunSterile8,High,Sterile,Sterile,Wolfrun,1.41,3.09,2.191489,97,0,147,73,105,80,115,128,13,1.687136174,5.66800275
WolfrunSterile5,High,Sterile,Sterile,Wolfrun,1.98,1.87,0.944444444,88,4,102,63,127,94,112,157,45,2.001558537,7.835145827
WolfrunSterile6,High,Sterile,Sterile,Wolfrun,0.95,0.18,0.189,83,2,16,12,30,85,87,94,7,4.151002694,20.0443107
GraceFull1,Low,Full,FullLow,Grace,0.98,0.99,1.010204,79,0,60,32,44,94,107,116,9,2.488319526,8.70355246
GraceBacteria8,Low,Bacteria,BacteriaLow,Grace,1.53,1.55,1.013,85,6,59,23,32,77,83,87,4,3.738440563,19.06754708
AlleeSterile2,High,Sterile,Sterile,Allee,2.03,4.06,2,103,1,131,46,53,66,81,92,11,4.494530207,32.23419159
AlleeSterile3,High,Sterile,Sterile,Allee,2.4,3.19,1.329166667,61,8,156,89,153,54,91,106,15,2.183809591,9.453811846
AlleeSterile9,High,Sterile,Sterile,Allee,1.59,2.64,1.660377358,75,5,127,77,122,105,127,156,29,1.438548242,4.717485395
LLPSterile4,High,Sterile,Sterile,LLP,0.57,0.83,1.456140351,38,2,92,60,114,113,144,162,18,1.76712619,5.850026098
LLPSterile5,High,Sterile,Sterile,LLP,0.34,0.33,0.970588235,35,0,45,35,53,165,180,194,14,2.274782706,7.86376799
WolfrunSterile10,High,Sterile,Sterile,Wolfrun,0.56,0.72,1.2857,81,1,36,27,92,56,77,105,28,2.975742586,12.36464733
GraceFull10,Low,Full,FullLow,Grace,2.45,1.71,0.697959184,98,6,137,67,109,84,97,114,17,1.710491405,5.388368609
GraceBacteria10,Low,Bacteria,BacteriaLow,Grace,2.19,1.04,0.47488,85,4,99,62,92,56,73,97,24,1.682945073,5.258199417
GraceFull6,Low,Full,FullLow,Grace,0.83,0.35,0.422,73,4,184,49,53,66,82,91,9,2.390196684,9.606701791
GraceBacteria1,Low,Bacteria,BacteriaLow,Grace,0.55,1.09,1.981818182,41,0,56,38,80,119,144,162,18,2.364552875,8.904353732
LLPBacteria1,High,Bacteria,BacteriaHigh,LLP,1.9,1.31,0.68947,108,3,116,45,66,72,NA,93,NA,2.664119075,11.42147497
LLPFull3,High,Full,FullHigh,LLP,1.49,1.92,1.288590604,77,10,154,70,97,94,111,131,20,1.532158582,4.641364889
LLPFull8,High,Full,FullHigh,LLP,0.58,0.32,0.551724138,44,2,51,31,58,148,157,168,11,2.408701115,7.916398959
BernheimFull6,Low,Full,FullLow,Bernheim,1.2,0.47,0.391666667,77,2,145,71,143,75,93,106,13,1.956267859,7.164009641
